file	layers	dir	tag	b1	b2	b3	b4	w1	w2	dw	bitfield
DATA\GLOBAL\CHARS\AI\COF\AIA11HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIA11HT.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA12HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIA12HT.COF	8	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA1BOW.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA1HT1.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA1HT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA1HTH.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA1STF.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA1XBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA21HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIA21HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIA22HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIA22HT.COF	8	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA2HT1.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA2HT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIA2HTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIA2STF.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIBL1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIBL1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIBLHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIBLHT2.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIBLHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIDDHTH.COF	1	8	20	0	249	136	0	-1792	136	8976640	00000000100111110001000100000000b
DATA\GLOBAL\CHARS\AI\COF\AIDTHTH.COF	1	8	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIGH1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGH1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGH2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGH2HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGHBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGHHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGHHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIGHHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIGHSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIGHXBW.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKK1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKK1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKK2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKK2HT.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKKBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKKHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKKHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIKKHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIKKSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIKKXBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
